total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
32,FRA,179.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,GBR,491.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,GRC,38.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,HKG,1.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,HUN,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,IDN,44.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,IND,214.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,IRL,17.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,ISR,33.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,ITA,579.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,JPN,11.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,LVA,12.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,MEX,185.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,NLD,353.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,NOR,33.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,PHL,48.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,POL,52.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,PRT,198.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,ROU,44.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,RUS,9.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,SGP,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,SVK,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,SWE,378.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,TUR,81.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,URY,35.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,USA,3880.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,ARG,31.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,AUS,385.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,AUT,104.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,BEL,165.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,BGR,20.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,BRA,266.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,CAN,255.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,CHE,36.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,CHL,134.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,CHN,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
33,COL,16.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
